book
good
bad
abode
access
adieu
afar
apace
argosy
arrant
asunder
atrabilious
aurora
bard
barque
bedizen
beget
behold
beseech
bestrew
betake
betide
betoken
blade
blithe
bosky
brand
brume
celerity
circumvallate
clarion
cleave to
cockcrow
coruscate
crapulent
crescent
darkling
deep
dingle
divers
Dives
dolour
dome
dulcify
effulgent
eld	old age
eminence
empyrean
erne
ether
evanescent
farewell
fervid
fidus
finny
firmament
flaxen
fleer
